 rt 	  est 	  resp 	  laten 	  good 	  SU 
 329	 1	 4	 334217	 1	 P_MM_06101994
 313	 1	 4	 336092	 1	 P_MM_06101994
 313	 1	 4	 338467	 1	 P_MM_06101994
 313	 1	 4	 340796	 1	 P_MM_06101994
 391	 1	 4	 342796	 1	 P_MM_06101994
 375	 1	 4	 345046	 1	 P_MM_06101994
 -99	 1	 -99	 346014	 1	 P_MM_06101994
 329	 2	 4	 348280	 1	 P_MM_06101994
 375	 1	 4	 349359	 1	 P_MM_06101994
 218	 1	 4	 350421	 1	 P_MM_06101994
 266	 1	 4	 351514	 1	 P_MM_06101994
 360	 1	 4	 353889	 1	 P_MM_06101994
 234	 1	 4	 355921	 1	 P_MM_06101994
 266	 1	 4	 357030	 1	 P_MM_06101994
 265	 1	 4	 358874	 1	 P_MM_06101994
 -99	 2	 -99	 360826	 1	 P_MM_06101994
 329	 1	 4	 361905	 1	 P_MM_06101994
 250	 1	 4	 364046	 1	 P_MM_06101994
 250	 1	 4	 365701	 1	 P_MM_06101994
 220	 1	 4	 367326	 1	 P_MM_06101994
 250	 1	 4	 369467	 1	 P_MM_06101994
 -99	 2	 -99	 370421	 1	 P_MM_06101994
 234	 1	 4	 372780	 1	 P_MM_06101994
 -99	 2	 -99	 374905	 1	 P_MM_06101994
 343	 1	 4	 376187	 1	 P_MM_06101994
 -99	 2	 -99	 377109	 1	 P_MM_06101994
 250	 1	 4	 378109	 1	 P_MM_06101994
 266	 1	 4	 379030	 1	 P_MM_06101994
 250	 1	 4	 380624	 1	 P_MM_06101994
 250	 2	 4	 382609	 1	 P_MM_06101994
 297	 1	 4	 384717	 1	 P_MM_06101994
 296	 1	 4	 386671	 1	 P_MM_06101994
 250	 1	 4	 388764	 1	 P_MM_06101994
 250	 2	 4	 389874	 1	 P_MM_06101994
 250	 1	 4	 390967	 1	 P_MM_06101994
 344	 1	 4	 392905	 1	 P_MM_06101994
 250	 1	 4	 394217	 1	 P_MM_06101994
 235	 1	 4	 395249	 1	 P_MM_06101994
 390	 1	 4	 450484	 1	 P_MM_06101994
 375	 2	 4	 452842	 1	 P_MM_06101994
 329	 1	 4	 454530	 1	 P_MM_06101994
