"","onset","duration","value","response","rt","good","SU","misport_code","misport_port","misport_time","misport_time_error","seq"
"142",238.3563,1,21,-99,-99,1,1,0,0,0,0,0
"143",239.9896,1,10,1,316.5,1,1,0,0,0,0,1
"144",241.5562,1,21,-99,-99,1,1,0,0,0,0,0
"145",243.1228,1,10,1,447.9,1,1,0,0,0,0,1
"146",244.3394,1,10,1,319.5,1,1,0,0,0,0,2
"147",245.4393,1,10,1,387.8,1,1,0,0,0,0,3
"148",246.8893,1,21,-99,-99,1,1,0,0,0,0,0
"149",248.3392,1,10,1,304.3,1,1,0,0,0,0,1
"150",249.9225,1,10,1,273.3,1,1,0,0,0,0,2
"151",297.8038,1,10,2,399.5,1,1,0,0,0,0,3
"152",299.2204,1,10,2,263,1,1,0,0,0,0,4
"153",300.5537,1,10,2,386,1,1,0,0,0,0,5
"154",301.6036,1,10,2,328.3,1,1,0,0,0,0,6
"155",303.1035,1,10,2,364.5,1,1,0,0,0,0,7
"156",304.2202,1,10,2,288,1,1,0,0,0,0,8
"157",305.9701,1,10,2,490.4,1,1,0,0,0,0,9
"158",307.52,1,21,-99,-99,1,1,0,0,0,0,0
"159",309.07,1,10,2,302.9,1,1,0,0,0,0,1
"160",310.7366,1,10,2,268.6,1,1,0,0,0,0,2
"161",311.7865,1,10,2,354.9,1,1,0,0,0,0,3
"162",313.5031,1,10,2,286.6,1,1,0,0,0,0,4
"163",314.7864,1,10,2,395.5,1,1,0,0,0,0,5
"164",315.9197,1,21,-99,-99,1,1,0,0,0,0,0
"165",317.0529,1,10,2,353.3,1,1,0,0,0,0,1
"166",318.4696,1,10,2,376.9,1,1,0,0,0,0,2
"167",320.2362,1,10,2,370.5,1,1,0,0,0,0,3
"168",321.3194,1,10,2,343.4,1,1,0,0,0,0,4
"169",322.986,1,10,2,325.1,1,1,0,0,0,0,5
"170",324.1527,1,10,2,342.7,1,1,0,0,0,0,6
"171",325.5526,1,10,2,399,1,1,0,0,0,0,7
"172",327.1192,1,21,-99,-99,1,1,0,0,0,0,0
"173",328.6858,1,10,2,258.2,1,1,0,0,0,0,1
"174",330.0857,1,10,2,378.5,1,1,0,0,0,0,2
"175",331.219,1,10,2,285.4,1,1,0,0,0,0,3
"176",332.4523,1,21,2,284.3,1,1,0,0,0,0,0
"177",333.6856,1,10,2,395.2,1,1,0,0,0,0,1
"178",335.1022,1,21,-99,-99,1,1,0,0,0,0,0
"179",336.5188,1,10,2,282.4,1,1,0,0,0,0,1
"180",338.2354,1,10,2,422.1,1,1,0,0,0,0,2
"181",341.2019,1,10,2,592.1,1,1,0,0,0,0,3
