"","rt","est","resp","laten","good","SU","Age","Sex"
"212",283,1,4,468576,1,25,19,"F"
"213",280,1,4,469796,1,25,19,"F"
"214",329,1,4,472201,1,25,19,"F"
"215",313,1,4,473499,1,25,19,"F"
"216",-99,2,-99,474576,1,25,19,"F"
"217",298,1,4,476639,1,25,19,"F"
"218",250,1,4,478030,1,25,19,"F"
"219",297,1,4,480124,1,25,19,"F"
"220",267,1,4,482217,1,25,19,"F"
"221",328,1,4,484264,1,25,19,"F"
"222",282,1,4,486155,1,25,19,"F"
"223",280,1,4,487109,1,25,19,"F"
"224",-99,2,-99,488467,1,25,19,"F"
"225",281,1,4,490624,1,25,19,"F"
"226",296,1,4,491671,1,25,19,"F"
"227",312,1,4,493234,1,25,19,"F"
"228",265,1,4,494734,1,25,19,"F"
"229",359,1,4,495655,1,25,19,"F"
"230",266,1,4,497576,1,25,19,"F"
"231",282,1,4,499592,1,25,19,"F"
"232",-99,2,-99,501092,1,25,19,"F"
"233",327,1,4,502624,1,25,19,"F"
"234",-99,2,-99,503734,1,25,19,"F"
"235",312,1,4,504812,1,25,19,"F"
"236",345,1,4,506451,1,25,19,"F"
"237",-99,1,-99,507921,1,25,19,"F"
"238",-99,2,-99,509296,1,25,19,"F"
"239",250,1,4,511437,1,25,19,"F"
"240",-99,2,-99,512389,1,25,19,"F"
"241",235,1,4,514249,1,25,19,"F"
"242",-99,2,-99,515171,1,25,19,"F"
"243",266,1,4,516514,1,25,19,"F"
"244",-99,2,-99,517889,1,25,19,"F"
"245",264,1,4,519937,1,25,19,"F"
"246",343,1,4,521687,1,25,19,"F"
"247",422,1,4,522749,1,25,19,"F"
"248",266,1,4,524780,1,25,19,"F"
"249",282,1,4,526014,1,25,19,"F"
"250",327,1,4,527499,1,25,19,"F"
"251",265,1,4,529859,1,25,19,"F"
"252",-99,2,-99,530796,1,25,19,"F"
"253",250,1,4,532639,1,25,19,"F"
"254",328,1,4,534764,1,25,19,"F"
"255",266,1,4,536639,1,25,19,"F"
"256",344,1,4,537905,1,25,19,"F"
"257",297,1,4,539467,1,25,19,"F"
"258",234,1,4,541217,1,25,19,"F"
"259",250,1,4,542967,1,25,19,"F"
"260",-99,2,-99,544764,1,25,19,"F"
"261",280,1,4,546984,1,25,19,"F"
"262",-99,2,-99,548076,1,25,19,"F"
"263",266,1,4,549655,1,25,19,"F"
"264",327,1,4,551687,1,25,19,"F"
"265",250,1,4,553155,1,25,19,"F"
"266",266,1,4,554921,1,25,19,"F"
"267",220,1,4,556467,1,25,19,"F"
"268",250,2,4,558609,1,25,19,"F"
"269",407,1,4,559967,1,25,19,"F"
"270",329,1,4,562342,1,25,19,"F"
"271",359,1,4,563421,1,25,19,"F"
"272",391,1,4,565796,1,25,19,"F"
"273",235,1,4,567514,1,25,19,"F"
"274",313,2,4,569171,1,25,19,"F"
"275",312,1,4,570905,1,25,19,"F"
"276",313,1,4,572076,1,25,19,"F"
"277",266,1,4,574421,1,25,19,"F"
"278",329,2,4,575576,1,25,19,"F"
"279",282,1,4,577717,1,25,19,"F"
"280",-99,2,-99,579562,1,25,19,"F"
"281",266,1,4,581421,1,25,19,"F"
"282",328,1,4,583296,1,25,19,"F"
"283",421,1,4,585655,1,25,19,"F"
"284",-99,2,-99,587062,1,25,19,"F"
"285",297,1,4,589124,1,25,19,"F"
"286",-99,2,-99,590421,1,25,19,"F"
"287",280,1,4,592312,1,25,19,"F"
"288",312,1,4,593609,1,25,19,"F"
"289",345,1,4,595451,1,25,19,"F"
"290",375,1,4,597734,1,25,19,"F"
"291",328,1,4,600046,1,25,19,"F"
"292",470,1,4,601264,1,25,19,"F"
"293",250,1,4,602437,1,25,19,"F"
"294",-99,2,-99,603451,1,25,19,"F"
"295",297,1,4,605312,1,25,19,"F"
"296",283,1,4,607576,1,25,19,"F"
"297",296,1,4,608609,1,25,19,"F"
"298",282,1,4,610889,1,25,19,"F"
"299",313,1,4,611796,1,25,19,"F"
"300",-99,2,-99,613076,1,25,19,"F"
"301",391,1,4,51234,1,19,20,"F"
"302",329,1,4,53155,1,19,20,"F"
"303",296,1,4,55359,1,19,20,"F"
"304",297,1,4,56891,1,19,20,"F"
"305",312,1,4,58063,1,19,20,"F"
"306",-99,2,-99,59453,1,19,20,"F"
"307",266,1,4,60609,1,19,20,"F"
"308",296,1,4,62875,1,19,20,"F"
"309",297,1,4,65203,1,19,20,"F"
"310",328,1,4,66218,1,19,20,"F"
"311",281,1,4,68078,1,19,20,"F"
"312",359,1,4,69875,1,19,20,"F"
"313",266,1,4,72125,1,19,20,"F"
"314",-99,2,-99,74109,1,19,20,"F"
"315",280,1,4,75891,1,19,20,"F"
"316",-99,2,-99,77796,1,19,20,"F"
"317",282,1,4,79093,1,19,20,"F"
"318",264,1,4,81016,1,19,20,"F"
"319",298,1,4,82218,1,19,20,"F"
"320",-99,2,-99,83703,1,19,20,"F"
"321",264,1,4,85766,1,19,20,"F"
"322",-99,2,-99,87203,1,19,20,"F"
"323",359,1,4,88546,1,19,20,"F"
"324",264,1,4,90141,1,19,20,"F"
"325",296,1,4,92125,1,19,20,"F"
"326",-99,2,-99,93671,1,19,20,"F"
"327",236,1,4,95405,1,19,20,"F"
"328",266,1,4,97359,1,19,20,"F"
"329",280,1,4,98891,1,19,20,"F"
"330",250,1,4,100984,1,19,20,"F"
