"","rt","est","resp","laten","good","acu","seq","subN","Age","Sex"
"322",518.6,11,1,85820.2,1,1,5,2,24,"F"
"323",524.5,11,2,87898.9,1,1,6,2,24,"F"
"324",574.1,11,2,91490.7,1,1,7,2,24,"F"
"325",503.5,11,2,94101.5,1,1,8,2,24,"F"
"326",675.8,12,3,96313.1,1,1,1,2,24,"F"
"327",869.4,12,3,98923.9,1,0,2,2,24,"F"
"328",926.1,12,2,102399.4,1,0,3,2,24,"F"
"329",551.7,12,1,104644.3,1,1,4,2,24,"F"
"330",589.8,12,2,107537.8,1,1,5,2,24,"F"
"331",586.5,11,2,110298.2,1,1,1,2,24,"F"
"332",499.8,11,1,114056.3,1,1,2,2,24,"F"
"333",524.6,11,1,116633.9,1,1,3,2,24,"F"
"334",462.4,11,1,119909.8,1,1,4,2,24,"F"
"335",477.2,11,3,122154.7,1,1,5,2,24,"F"
"336",823.7,12,3,124116.9,1,0,1,2,24,"F"
"337",659.2,12,1,126312,1,1,2,2,24,"F"
"338",689,12,3,130086.8,1,1,3,2,24,"F"
"339",598.5,12,2,132398.2,1,0,4,2,24,"F"
"340",683.2,12,2,135740.6,1,1,5,2,24,"F"
"341",646.2,12,1,138218.4,1,1,6,2,24,"F"
"342",726.6,12,1,140646.2,1,1,7,2,24,"F"
"343",647.7,12,1,143040.8,1,1,8,2,24,"F"
"344",492.6,11,1,145934.3,1,1,1,2,24,"F"
"345",496.2,11,1,149443,1,1,2,2,24,"F"
"346",541.9,11,2,152569.2,1,1,3,2,24,"F"
"347",505.9,11,2,156194.4,1,1,4,2,24,"F"
"348",632.1,12,3,158406,1,1,1,2,24,"F"
"349",577,12,1,161149.8,1,1,2,2,24,"F"
"350",482,12,1,163328.2,1,1,3,2,24,"F"
"351",482.8,11,1,165406.9,1,1,1,2,24,"F"
"352",481.5,11,1,167951.1,1,1,2,2,24,"F"
"353",549.7,11,2,170628.4,1,1,3,2,24,"F"
"354",572.6,11,2,173472,1,1,4,2,24,"F"
"355",522.2,11,1,175716.9,1,1,5,2,24,"F"
"356",509,11,2,178643.6,1,1,6,2,24,"F"
"357",792.7,12,2,180905.2,1,1,1,2,24,"F"
"358",575.7,12,2,184663.3,1,0,2,2,24,"F"
"359",804.1,12,3,187706.4,1,1,3,2,24,"F"
"360",557.3,12,3,191481.2,1,1,4,2,24,"F"
"361",650.7,12,1,195156.3,1,1,5,2,24,"F"
"362",593,12,1,198365.7,1,1,6,2,24,"F"
"363",820.3,12,1,200959.8,1,1,7,2,24,"F"
"364",510.9,11,2,203254.6,1,1,1,2,24,"F"
"365",625.8,11,2,205798.9,1,1,2,2,24,"F"
"366",472,11,1,209207.8,1,1,3,2,24,"F"
"367",516.2,11,3,212450.5,1,1,4,2,24,"F"
"368",506.7,11,2,215826.2,1,1,5,2,24,"F"
"369",403.5,11,1,219484.6,1,1,6,2,24,"F"
