 rt 	  est 	  resp 	  laten 	  good 	  acu 	  seq 	  subID 	  subN 
 393.9	 11	 3	 425984.2	 1	 1	 2	 BAMF_22091986	 1
 478.3	 11	 1	 428811.1	 1	 1	 3	 BAMF_22091986	 1
 354.1	 11	 1	 432519.4	 1	 1	 4	 BAMF_22091986	 1
 939.3	 12	 1	 435379.6	 1	 0	 1	 BAMF_22091986	 1
 870	 12	 2	 437907.2	 1	 0	 2	 BAMF_22091986	 1
 546	 12	 3	 440833.9	 1	 1	 3	 BAMF_22091986	 1
 522.4	 12	 2	 443228.5	 1	 1	 4	 BAMF_22091986	 1
 485.1	 12	 1	 446920.2	 1	 1	 5	 BAMF_22091986	 1
 449.8	 12	 1	 449930	 1	 1	 6	 BAMF_22091986	 1
 414.5	 11	 3	 453222.6	 1	 1	 1	 BAMF_22091986	 1
 397.4	 11	 3	 455866.6	 1	 1	 2	 BAMF_22091986	 1
 312.8	 11	 1	 459026.1	 1	 1	 3	 BAMF_22091986	 1
 365.2	 11	 1	 462568.1	 1	 1	 4	 BAMF_22091986	 1
 335.4	 11	 2	 465395	 1	 1	 5	 BAMF_22091986	 1
 338.4	 11	 3	 467856.1	 1	 1	 6	 BAMF_22091986	 1
 323	 11	 1	 471281.7	 1	 1	 7	 BAMF_22091986	 1
 380.7	 11	 3	 475006.6	 1	 1	 8	 BAMF_22091986	 1
 915.1	 12	 3	 478648.4	 1	 0	 1	 BAMF_22091986	 1
 527.2	 12	 2	 482290.2	 1	 1	 2	 BAMF_22091986	 1
 434.6	 12	 3	 484568.3	 1	 1	 3	 BAMF_22091986	 1
 817	 12	 3	 488126.9	 1	 1	 4	 BAMF_22091986	 1
 527.9	 12	 1	 490438.4	 1	 1	 5	 BAMF_22091986	 1
 438.8	 12	 1	 494096.8	 1	 1	 6	 BAMF_22091986	 1
 593.2	 12	 2	 496441.5	 1	 1	 7	 BAMF_22091986	 1
 499.8	 11	 2	 499401.4	 1	 1	 1	 BAMF_22091986	 1
 393.6	 11	 3	 502461.2	 1	 1	 2	 BAMF_22091986	 1
 443.6	 11	 2	 505903.4	 1	 1	 3	 BAMF_22091986	 1
 469.2	 11	 3	 508015.3	 1	 1	 4	 BAMF_22091986	 1
 385.4	 11	 3	 510709.2	 1	 1	 5	 BAMF_22091986	 1
 438.1	 11	 1	 512821.1	 1	 1	 6	 BAMF_22091986	 1
 352.9	 11	 1	 515914.1	 1	 1	 7	 BAMF_22091986	 1
 863.4	 12	 2	 518208.9	 1	 0	 1	 BAMF_22091986	 1
 405.2	 12	 2	 521318.5	 1	 1	 2	 BAMF_22091986	 1
 688.9	 12	 2	 523546.8	 1	 1	 3	 BAMF_22091986	 1
 488	 12	 1	 526706.4	 1	 1	 4	 BAMF_22091986	 1
 533.8	 12	 3	 530098.7	 1	 1	 5	 BAMF_22091986	 1
 1011.6	 12	 2	 532792.6	 1	 0	 6	 BAMF_22091986	 1
 444.3	 11	 3	 534887.9	 1	 1	 1	 BAMF_22091986	 1
 419.1	 11	 3	 537681.5	 1	 1	 2	 BAMF_22091986	 1
 394.2	 11	 2	 540624.9	 1	 1	 3	 BAMF_22091986	 1
 419.6	 12	 1	 544299.9	 1	 0	 1	 BAMF_22091986	 1
 553	 12	 2	 548174.5	 1	 0	 2	 BAMF_22091986	 1
 963.9	 12	 2	 550735.3	 1	 0	 3	 BAMF_22091986	 1
 685	 12	 3	 552764.1	 1	 1	 4	 BAMF_22091986	 1
 635.9	 12	 3	 555940.2	 1	 1	 5	 BAMF_22091986	 1
 520.3	 12	 1	 557835.9	 1	 1	 6	 BAMF_22091986	 1
 420.8	 12	 1	 560164	 1	 1	 7	 BAMF_22091986	 1
 987.6	 12	 2	 562375.7	 1	 0	 8	 BAMF_22091986	 1
 495.6	 11	 3	 565169.4	 1	 1	 1	 BAMF_22091986	 1
 373.7	 11	 2	 568661.5	 1	 1	 2	 BAMF_22091986	 1
 396.5	 11	 1	 571421.9	 1	 1	 3	 BAMF_22091986	 1
 397.6	 11	 3	 573849.7	 1	 1	 4	 BAMF_22091986	 1
 385.4	 11	 2	 576177.8	 1	 1	 5	 BAMF_22091986	 1
 939.5	 12	 3	 579087.9	 1	 0	 1	 BAMF_22091986	 1
 1034.7	 12	 2	 582114.4	 1	 0	 2	 BAMF_22091986	 1
 835.5	 12	 2	 585589.8	 1	 1	 3	 BAMF_22091986	 1
 597.6	 12	 1	 589314.7	 1	 1	 4	 BAMF_22091986	 1
 409.5	 11	 3	 592973.1	 1	 1	 1	 BAMF_22091986	 1
 391.6	 11	 2	 595234.7	 1	 1	 2	 BAMF_22091986	 1
 436.3	 11	 3	 598876.5	 1	 1	 3	 BAMF_22091986	 1
 365	 11	 1	 602052.6	 1	 1	 4	 BAMF_22091986	 1
 1061.5	 12	 3	 605777.5	 1	 0	 1	 BAMF_22091986	 1
 453.4	 12	 1	 607856.1	 1	 1	 2	 BAMF_22091986	 1
 465.1	 12	 2	 611664.2	 1	 1	 3	 BAMF_22091986	 1
 648.5	 12	 2	 614940.1	 1	 1	 4	 BAMF_22091986	 1
 509.8	 12	 1	 616919	 1	 1	 5	 BAMF_22091986	 1
 422.4	 11	 2	 618981	 1	 1	 1	 BAMF_22091986	 1
 382.6	 11	 1	 622273.5	 1	 1	 2	 BAMF_22091986	 1
 382.8	 11	 1	 625682.5	 1	 1	 3	 BAMF_22091986	 1
 413.2	 11	 3	 628376.4	 1	 1	 4	 BAMF_22091986	 1
 418.2	 11	 3	 632201.1	 1	 1	 5	 BAMF_22091986	 1
 381.5	 11	 1	 634928.2	 1	 1	 6	 BAMF_22091986	 1
 392.9	 11	 3	 637672	 1	 1	 7	 BAMF_22091986	 1
 504	 11	 3	 639634.3	 1	 1	 8	 BAMF_22091986	 1
 688.4	 12	 1	 641979	 1	 0	 1	 BAMF_22091986	 1
 604.9	 12	 2	 645188.4	 1	 1	 2	 BAMF_22091986	 1
 468.3	 12	 1	 648613.9	 1	 1	 3	 BAMF_22091986	 1
 402.4	 11	 1	 650742.5	 1	 1	 1	 BAMF_22091986	 1
 368.3	 11	 3	 652854.4	 1	 1	 2	 BAMF_22091986	 1
 382.5	 11	 1	 656529.4	 1	 1	 3	 BAMF_22091986	 1
 404.8	 11	 2	 660121.3	 1	 1	 4	 BAMF_22091986	 1
 369.3	 11	 2	 663912.7	 1	 1	 5	 BAMF_22091986	 1
 365.4	 11	 3	 667238.5	 1	 1	 6	 BAMF_22091986	 1
 806.4	 12	 2	 669949	 1	 0	 1	 BAMF_22091986	 1
 952	 12	 3	 671828.1	 1	 0	 2	 BAMF_22091986	 1
 729.7	 12	 3	 673989.9	 1	 1	 3	 BAMF_22091986	 1
 851	 12	 2	 677232.5	 1	 0	 4	 BAMF_22091986	 1
 789.5	 12	 2	 680624.9	 1	 0	 5	 BAMF_22091986	 1
 696.8	 12	 2	 682886.4	 1	 1	 6	 BAMF_22091986	 1
 785.1	 12	 3	 685912.9	 1	 1	 7	 BAMF_22091986	 1
 428.9	 11	 1	 689737.6	 1	 1	 1	 BAMF_22091986	 1
 453.6	 11	 2	 691606.8	 1	 1	 2	 BAMF_22091986	 1
 348.6	 11	 2	 694210.8	 1	 1	 3	 BAMF_22091986	 1
 360.1	 11	 3	 697120.9	 1	 1	 4	 BAMF_22091986	 1
 380.3	 11	 1	 700263.8	 1	 1	 5	 BAMF_22091986	 1
 341.3	 11	 1	 703589.6	 1	 1	 6	 BAMF_22091986	 1
 637.4	 12	 2	 706433.2	 1	 1	 1	 BAMF_22091986	 1
 585.1	 12	 1	 709010.7	 1	 1	 2	 BAMF_22091986	 1
 603.6	 12	 2	 711322.1	 1	 1	 3	 BAMF_22091986	 1
 497.6	 12	 2	 713583.7	 1	 1	 4	 BAMF_22091986	 1
 617.9	 12	 2	 715629	 1	 1	 5	 BAMF_22091986	 1
 452.1	 11	 2	 717691	 1	 1	 1	 BAMF_22091986	 1
 401.9	 11	 1	 721299.6	 1	 1	 2	 BAMF_22091986	 1
 355.5	 11	 3	 724226.3	 1	 1	 3	 BAMF_22091986	 1
 475.4	 11	 1	 726970.1	 1	 1	 4	 BAMF_22091986	 1
 354.8	 11	 3	 729963.3	 1	 1	 5	 BAMF_22091986	 1
 420.1	 11	 3	 732823.5	 1	 1	 6	 BAMF_22091986	 1
 384.3	 11	 1	 735683.7	 1	 1	 7	 BAMF_22091986	 1
 874.3	 12	 3	 737795.6	 1	 0	 1	 BAMF_22091986	 1
 862.5	 12	 2	 740472.8	 1	 0	 2	 BAMF_22091986	 1
 548.6	 12	 1	 743516	 1	 1	 3	 BAMF_22091986	 1
 498.2	 11	 1	 745578	 1	 1	 1	 BAMF_22091986	 1
 412.1	 11	 1	 748986.9	 1	 1	 2	 BAMF_22091986	 1
 374	 11	 1	 751730.7	 1	 1	 3	 BAMF_22091986	 1
 364.2	 11	 1	 754724	 1	 1	 4	 BAMF_22091986	 1
 419.7	 11	 2	 758149.5	 1	 1	 5	 BAMF_22091986	 1
 431.9	 11	 2	 760743.7	 1	 1	 6	 BAMF_22091986	 1
 390.1	 11	 1	 764285.7	 1	 1	 7	 BAMF_22091986	 1
 357	 11	 1	 767229	 1	 1	 8	 BAMF_22091986	 1
 596.7	 12	 2	 770687.9	 1	 1	 1	 BAMF_22091986	 1
 691.3	 12	 3	 773681.1	 1	 1	 2	 BAMF_22091986	 1
 654.5	 12	 2	 775643.3	 1	 1	 3	 BAMF_22091986	 1
 383	 12	 1	 779118.8	 1	 1	 4	 BAMF_22091986	 1
 421.8	 11	 3	 782161.9	 1	 1	 1	 BAMF_22091986	 1
 404.3	 11	 3	 785171.7	 1	 1	 2	 BAMF_22091986	 1
 370.5	 11	 1	 788830.1	 1	 1	 3	 BAMF_22091986	 1
 457.5	 11	 3	 790792.4	 1	 1	 4	 BAMF_22091986	 1
 75.6	 11	 3	 792937.5	 1	 1	 5	 BAMF_22091986	 1
 467.5	 11	 2	 796280	 1	 1	 6	 BAMF_22091986	 1
 397.2	 11	 1	 798691.2	 1	 1	 7	 BAMF_22091986	 1
 779.2	 12	 1	 801451.6	 1	 1	 1	 BAMF_22091986	 1
 551.9	 12	 2	 805093.4	 1	 1	 2	 BAMF_22091986	 1
 423.1	 12	 1	 807737.4	 1	 1	 3	 BAMF_22091986	 1
 520	 12	 1	 811379.1	 1	 0	 4	 BAMF_22091986	 1
 423.9	 11	 1	 814322.5	 1	 1	 1	 BAMF_22091986	 1
 420.3	 11	 3	 817265.8	 1	 1	 2	 BAMF_22091986	 1
 389.6	 11	 1	 819577.3	 1	 1	 3	 BAMF_22091986	 1
 445.7	 11	 1	 821489.6	 1	 1	 4	 BAMF_22091986	 1
 403	 11	 1	 824615.9	 1	 1	 5	 BAMF_22091986	 1
 877.3	 12	 2	 828290.9	 1	 0	 1	 BAMF_22091986	 1
 557.1	 12	 1	 831201	 1	 1	 2	 BAMF_22091986	 1
 617.5	 12	 2	 833080.1	 1	 1	 3	 BAMF_22091986	 1
 762.5	 12	 3	 836256.2	 1	 1	 4	 BAMF_22091986	 1
