 rt 	  est 	  resp 	  laten 	  good 	  acu 	  seq 	  subID 	  subN 
 601.9	 11	 1	 333627.2	 1	 1	 6	 ACRC_11051992	 1
 524.5	 11	 2	 336528.7	 1	 1	 7	 ACRC_11051992	 1
 688.7	 12	 2	 340292.4	 1	 1	 1	 ACRC_11051992	 1
 673.4	 12	 1	 343475.7	 1	 1	 2	 ACRC_11051992	 1
 841.7	 12	 1	 346211.4	 1	 1	 3	 ACRC_11051992	 1
 642.6	 12	 1	 349162.6	 1	 1	 4	 ACRC_11051992	 1
 531.1	 11	 1	 352578.1	 1	 1	 1	 ACRC_11051992	 1
 519.5	 11	 2	 354965.6	 1	 1	 2	 ACRC_11051992	 1
 449	 11	 1	 358580.1	 1	 1	 3	 ACRC_11051992	 1
 633.2	 11	 2	 361547.9	 1	 1	 4	 ACRC_11051992	 1
 528.8	 11	 2	 364532.3	 1	 1	 5	 ACRC_11051992	 1
 477.1	 11	 2	 367384	 1	 1	 6	 ACRC_11051992	 1
 403.5	 11	 2	 370401.6	 1	 1	 7	 ACRC_11051992	 1
 477.4	 11	 1	 372407.7	 1	 1	 8	 ACRC_11051992	 1
 856.2	 12	 2	 374612.9	 1	 1	 1	 ACRC_11051992	 1
 955.8	 12	 3	 376569.3	 1	 1	 2	 ACRC_11051992	 1
 640.9	 12	 2	 378940.3	 1	 1	 3	 ACRC_11051992	 1
 931	 12	 2	 382538.1	 1	 1	 4	 ACRC_11051992	 1
 966.3	 12	 2	 385190.9	 1	 1	 5	 ACRC_11051992	 1
 805	 12	 2	 387744.2	 1	 1	 6	 ACRC_11051992	 1
 677.8	 11	 3	 390695.4	 1	 1	 1	 ACRC_11051992	 1
 584	 11	 1	 394061.2	 1	 1	 2	 ACRC_11051992	 1
 518	 11	 3	 396631.1	 1	 1	 3	 ACRC_11051992	 1
 407.9	 11	 3	 398637.3	 1	 1	 4	 ACRC_11051992	 1
 448.1	 11	 3	 400693.1	 1	 1	 5	 ACRC_11051992	 1
 721.6	 12	 3	 404307.6	 1	 1	 1	 ACRC_11051992	 1
 764.1	 12	 3	 407209.1	 1	 1	 2	 ACRC_11051992	 1
 805.6	 12	 1	 409911.6	 1	 1	 3	 ACRC_11051992	 1
 899.2	 12	 3	 412266	 1	 1	 4	 ACRC_11051992	 1
 672.7	 12	 3	 415996.5	 1	 1	 5	 ACRC_11051992	 1
 880.2	 12	 2	 419213	 1	 1	 6	 ACRC_11051992	 1
 639.1	 11	 3	 422446.1	 1	 1	 1	 ACRC_11051992	 1
 560.9	 11	 1	 425596.3	 1	 1	 2	 ACRC_11051992	 1
 446.1	 11	 2	 427735.1	 1	 1	 3	 ACRC_11051992	 1
 513.5	 11	 2	 431067.7	 1	 1	 4	 ACRC_11051992	 1
 516.4	 11	 1	 434416.8	 1	 1	 5	 ACRC_11051992	 1
 607.4	 11	 1	 437533.8	 1	 1	 6	 ACRC_11051992	 1
 585.4	 11	 2	 441363.8	 1	 1	 7	 ACRC_11051992	 1
 476.1	 11	 2	 443801.1	 1	 1	 8	 ACRC_11051992	 1
 863.4	 12	 1	 446221.8	 1	 1	 1	 ACRC_11051992	 1
 776.6	 12	 2	 449620.6	 1	 1	 2	 ACRC_11051992	 1
 719.5	 12	 2	 451709.7	 1	 1	 3	 ACRC_11051992	 1
 637.6	 11	 3	 454279.6	 1	 1	 1	 ACRC_11051992	 1
 502.5	 11	 1	 458142.7	 1	 1	 2	 ACRC_11051992	 1
 553.7	 11	 3	 460795.5	 1	 1	 3	 ACRC_11051992	 1
 446.6	 11	 2	 463398.6	 1	 1	 4	 ACRC_11051992	 1
 687.2	 11	 3	 465670	 1	 1	 5	 ACRC_11051992	 1
 534.7	 11	 1	 468886.5	 1	 1	 6	 ACRC_11051992	 1
 445.1	 11	 1	 471904.1	 1	 1	 7	 ACRC_11051992	 1
 709.5	 12	 2	 475551.7	 1	 1	 1	 ACRC_11051992	 1
 1109.5	 12	 3	 477839.7	 1	 1	 2	 ACRC_11051992	 1
 865.5	 12	 3	 481155.7	 1	 1	 3	 ACRC_11051992	 1
 776.7	 12	 1	 483692.5	 1	 1	 4	 ACRC_11051992	 1
 670.4	 11	 1	 15789.1	 1	 1	 1	 BAHA_27122000	 2
 482.4	 11	 1	 19105.1	 1	 1	 2	 BAHA_27122000	 2
 361.2	 11	 2	 22570.3	 1	 1	 3	 BAHA_27122000	 2
 389	 11	 3	 25206.5	 1	 1	 4	 BAHA_27122000	 2
 950.7	 12	 1	 28588.8	 1	 1	 1	 BAHA_27122000	 2
 871.8	 12	 2	 30843.7	 1	 1	 2	 BAHA_27122000	 2
 1328.2	 12	 2	 34491.3	 1	 1	 3	 BAHA_27122000	 2
 856.8	 12	 3	 36530.6	 1	 1	 4	 BAHA_27122000	 2
 873.6	 12	 1	 38569.9	 1	 0	 5	 BAHA_27122000	 2
 762.6	 12	 2	 41056.9	 1	 1	 6	 BAHA_27122000	 2
 752.8	 12	 1	 44306.6	 1	 1	 7	 BAHA_27122000	 2
 814.6	 12	 1	 46428.8	 1	 1	 8	 BAHA_27122000	 2
 519.8	 11	 1	 49595.6	 1	 1	 1	 BAHA_27122000	 2
 414.7	 11	 3	 52828.7	 1	 1	 2	 BAHA_27122000	 2
 451.3	 11	 3	 54984.1	 1	 1	 3	 BAHA_27122000	 2
 609.1	 11	 3	 58250.3	 1	 1	 4	 BAHA_27122000	 2
 502	 11	 2	 60853.4	 1	 1	 5	 BAHA_27122000	 2
 450.9	 11	 1	 63688.5	 1	 1	 6	 BAHA_27122000	 2
 425.7	 11	 3	 67153.7	 1	 1	 7	 BAHA_27122000	 2
 610.3	 12	 2	 70337.1	 1	 1	 1	 BAHA_27122000	 2
 698.8	 12	 1	 73984.6	 1	 1	 2	 BAHA_27122000	 2
 1342	 12	 2	 76637.4	 1	 1	 3	 BAHA_27122000	 2
 792.1	 12	 1	 79091.3	 1	 1	 4	 BAHA_27122000	 2
 521.7	 12	 1	 81561.7	 1	 1	 5	 BAHA_27122000	 2
 430.9	 12	 1	 84612.4	 1	 0	 6	 BAHA_27122000	 2
 485.6	 11	 1	 88309.7	 1	 1	 1	 BAHA_27122000	 2
 373.6	 11	 1	 90597.7	 1	 1	 2	 BAHA_27122000	 2
 396.7	 11	 1	 93366.6	 1	 1	 3	 BAHA_27122000	 2
 564.8	 12	 2	 96566.5	 1	 1	 1	 BAHA_27122000	 2
 762.6	 12	 1	 98688.7	 1	 1	 2	 BAHA_27122000	 2
 508.1	 12	 2	 101391.2	 1	 1	 3	 BAHA_27122000	 2
 840.2	 12	 1	 103331.1	 1	 1	 4	 BAHA_27122000	 2
 571.1	 12	 2	 105536.2	 1	 0	 5	 BAHA_27122000	 2
 701.3	 11	 2	 108902	 1	 1	 1	 BAHA_27122000	 2
 454.6	 11	 1	 112068.7	 1	 1	 2	 BAHA_27122000	 2
 366.5	 11	 1	 115500.8	 1	 1	 3	 BAHA_27122000	 2
 460.9	 11	 2	 117606.4	 1	 0	 4	 BAHA_27122000	 2
 803.8	 11	 1	 119695.5	 1	 1	 5	 BAHA_27122000	 2
 465.9	 11	 2	 122265.4	 1	 1	 6	 BAHA_27122000	 2
 701.4	 12	 1	 124453.9	 1	 1	 1	 BAHA_27122000	 2
 930.9	 12	 2	 126808.3	 1	 1	 2	 BAHA_27122000	 2
 456.2	 12	 2	 130091.1	 1	 1	 3	 BAHA_27122000	 2
 974.1	 12	 3	 132893.1	 1	 1	 4	 BAHA_27122000	 2
 1079.8	 12	 2	 135363.5	 1	 1	 5	 BAHA_27122000	 2
 924	 12	 3	 138215.2	 1	 1	 6	 BAHA_27122000	 2
 936	 12	 2	 140387.2	 1	 1	 7	 BAHA_27122000	 2
 1408.8	 12	 2	 143338.4	 1	 1	 8	 BAHA_27122000	 2
 697.4	 11	 1	 145377.8	 1	 1	 1	 BAHA_27122000	 2
 760.7	 11	 3	 149058.5	 1	 1	 2	 BAHA_27122000	 2
 664.4	 11	 3	 151810.8	 1	 1	 3	 BAHA_27122000	 2
 585.7	 11	 1	 153833.5	 1	 1	 4	 BAHA_27122000	 2
 818.3	 11	 2	 155872.9	 1	 1	 5	 BAHA_27122000	 2
